SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2024BG0000001,1,844.37,63,2,6,1,7,17627,125,9800,1,1,1,3,1,2900105,1000000
2024BG0000002,1,844.37,43,1,4,1,13,161594,501,7000,1,1,1,1,1,2900101,1000000
2024BG0000003,1,844.37,64,2,1,1,5,21144,151,5000,1,1,5,1,1,2900102,1000000
2024BG0000004,1,844.37,16,2,3,1,16,18295,130,0,0,6,1,5,1,2900107,1000000
2024BG0000005,1,844.37,9,2,1,1,3,2589,18,0,0,6,1,5,1,2900107,1000000
2024BG0000006,1,844.37,7,1,6,1,9,12532,89,0,0,6,1,5,1,2900105,1000000
2024BG0000007,1,844.37,50,1,1,1,12,27559,196,6000,3,1,1,1,1,2900107,1000000
2024BG0000008,1,844.37,57,2,7,1,7,3153,22,9000,1,2,1,1,1,2900101,1000000
2024BG0000009,1,844.37,16,1,7,1,16,18685,133,0,0,6,1,5,1,2900100,1000000
2024BG0000010,1,844.37,44,1,2,1,9,8838,63,4000,1,1,1,1,1,2900104,1000000
2024BG0000011,1,844.37,74,1,5,1,7,5667,40,0,0,6,1,1,1,2900103,1000000
2024BG0000012,1,844.37,21,2,1,1,17,30863,220,4000,1,1,1,5,1,2900107,1000000
2024BG0000013,1,844.37,28,1,3,1,5,26453,188,9800,1,1,1,1,1,2900104,1000000
2024BG0000014,1,844.37,51,2,1,1,6,69569,496,5000,1,1,1,5,1,2900106,1000000
2024BG0000015,1,844.37,26,1,2,1,8,9174,65,5000,4,1,5,5,1,2900103,1000000
2024BG0000016,1,844.37,16,2,1,1,16,12257,87,0,0,6,1,5,2,2900105,1000000
2024BG0000017,1,844.37,41,1,5,1,9,35524,253,4000,2,1,1,5,1,2900100,1000000
2024BG0000018,1,844.37,40,2,2,1,11,35411,252,7000,1,1,1,5,1,2900101,1000000
2024BG0000019,1,844.37,19,1,1,1,17,53186,379,6000,1,1,1,5,1,2900101,1000000
2024BG0000020,1,844.37,30,1,2,1,12,76808,501,5000,3,3,1,1,1,2900104,1000000
2024BG0000021,1,844.37,94,2,4,1,7,18289,130,0,0,6,1,1,1,2900107,1000000
2024BG0000022,1,844.37,41,1,5,1,6,10555,75,9000,1,1,1,3,1,2900103,1000000
2024BG0000023,1,844.37,26,1,1,1,15,41981,299,4000,1,1,1,1,1,2900106,1000000
2024BG0000024,1,844.37,57,2,5,1,11,53770,384,1000,1,1,1,1,1,2900106,1000000
2024BG0000025,1,844.37,6,2,1,1,7,5260,37,0,0,6,1,5,1,2900101,1000000
2024BG0000026,1,844.37,36,2,1,1,14,55289,394,7000,1,1,5,1,1,2900105,1000000
2024BG0000027,1,844.37,38,2,2,1,5,10191,72,8000,1,1,1,1,1,2900104,1000000
2024BG0000028,1,844.37,6,2,5,1,1,12930,92,0,0,6,1,5,1,2900107,1000000
2024BG0000029,1,844.37,52,2,8,1,8,18276,130,5000,1,1,1,1,1,2900103,1000000
2024BG0000030,1,844.37,41,2,6,1,14,17479,124,4000,1,1,1,2,1,2900102,1000000
2024BG0000031,1,844.37,48,2,1,1,12,54164,386,4000,3,1,1,1,1,2900105,1000000
2024BG0000032,1,844.37,5,2,4,1,6,10222,73,0,0,6,1,5,1,2900104,1000000
2024BG0000033,1,844.37,11,2,1,1,5,3636,25,0,0,6,1,5,1,2900104,1000000
2024BG0000034,1,844.37,37,1,1,1,8,33636,240,9800,3,1,1,1,1,2900104,1000000
2024BG0000035,1,844.37,9,1,2,1,5,16805,120,0,0,6,5,5,1,2900102,1000000
2024BG0000036,1,844.37,87,1,1,1,12,13772,98,0,0,6,1,5,1,2900106,1000000
2024BG0000037,1,844.37,52,1,1,1,9,121205,501,6000,1,1,1,1,1,2900101,1000000
2024BG0000038,1,844.37,7,1,1,1,3,6251,44,0,0,6,1,5,1,2900102,1000000
2024BG0000039,1,844.37,44,1,3,1,13,61042,436,9000,1,5,1,1,1,2900104,1000000
2024BG0000040,1,844.37,22,2,3,1,13,40787,291,4000,1,1,1,5,1,2900106,1000000
2024BG0000041,1,844.37,42,1,1,1,16,229907,501,1000,1,1,1,1,1,2900106,1000000
2024BG0000042,1,844.37,36,1,5,1,8,8000,57,9920,3,1,1,1,1,2900101,1000000
2024BG0000043,1,844.37,22,1,1,1,16,156020,501,6000,3,4,1,5,1,2900104,1000000
2024BG0000044,1,844.37,89,1,5,1,8,5916,42,0,0,6,1,1,1,2900104,1000000
2024BG0000045,1,844.37,15,1,1,1,17,56993,407,0,0,6,1,5,1,2900103,1000000
2024BG0000046,1,844.37,7,2,1,1,3,19238,137,0,0,6,1,5,1,2900101,1000000
2024BG0000047,1,844.37,33,2,4,1,17,64355,459,5000,1,1,1,5,1,2900105,1000000
2024BG0000048,1,844.37,55,2,1,1,7,9511,67,8000,1,1,1,2,1,2900103,1000000
2024BG0000049,1,844.37,35,2,5,1,6,8998,64,7000,1,5,1,1,1,2900100,1000000
2024BG0000050,1,844.37,14,1,1,1,7,7670,54,0,0,6,1,5,1,2900104,1000000
2024BG0000051,1,844.37,2,1,5,1,9,15261,109,0,0,6,1,5,1,2900103,1000000
2024BG0000052,1,844.37,46,1,6,1,9,47012,335,8000,1,5,1,5,1,2900105,1000000
2024BG0000053,1,844.37,9,2,2,1,9,21460,153,0,0,6,1,5,1,2900105,1000000
2024BG0000054,1,844.37,32,1,4,1,11,90680,501,9000,4,1,1,5,1,2900104,1000000
2024BG0000055,1,844.37,3,1,2,1,3,5964,42,0,0,6,1,5,1,2900105,1000000
2024BG0000056,1,844.37,18,1,3,1,20,237959,501,1000,1,1,1,5,1,2900102,1000000
2024BG0000057,1,844.37,6,2,7,1,6,7455,53,0,0,6,1,5,1,2900100,1000000
2024BG0000058,1,844.37,1,1,5,1,5,5385,38,0,0,6,1,5,1,2900104,1000000
2024BG0000059,1,844.37,30,1,2,1,6,7759,55,5000,1,1,1,5,1,2900100,1000000
2024BG0000060,1,844.37,16,1,2,1,14,18381,131,0,0,6,1,5,1,2900102,1000000
2024BG0000061,1,844.37,31,1,2,1,12,116313,501,3000,1,1,1,1,1,2900103,1000000
2024BG0000062,1,844.37,17,2,5,1,15,39549,282,0,0,6,1,5,1,2900106,1000000
2024BG0000063,1,844.37,41,2,9,1,7,73922,501,8000,1,2,1,1,1,2900100,1000000
2024BG0000064,1,844.37,20,2,8,1,14,21525,153,6000,1,1,1,5,2,2900105,1000000
2024BG0000065,1,844.37,36,1,1,1,8,7833,55,6000,3,1,1,3,1,2900105,1000000
2024BG0000066,1,844.37,35,2,2,1,8,7889,56,8000,1,1,1,1,2,2900106,1000000
2024BG0000067,1,844.37,20,2,6,1,14,30202,215,4000,1,2,1,5,1,2900103,1000000
2024BG0000068,1,844.37,29,2,9,1,16,40234,287,4000,2,1,1,1,1,2900106,1000000
