SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2024DL0000001,1,1678.79,1,2,1,1,4,22353,149,0,0,6,1,5,2,700705,1000000
2024DL0000002,1,1678.79,0,2,1,1,4,13708,91,0,0,6,1,5,1,700710,1000000
2024DL0000003,1,1678.79,11,2,3,1,1,11405,76,0,0,6,5,5,1,700709,1000000
2024DL0000004,1,1678.79,59,1,3,1,11,21135,140,3000,1,4,1,1,1,700700,1000000
2024DL0000005,1,1678.79,0,1,3,1,3,10531,70,0,0,6,1,5,1,700708,1000000
2024DL0000006,1,1678.79,2,2,1,1,3,4422,29,0,0,6,1,5,1,700703,1000000
2024DL0000007,1,1678.79,9,1,3,1,5,3161,21,0,0,6,1,5,2,700709,1000000
2024DL0000008,1,1678.79,47,2,1,1,12,11241,74,7000,1,1,1,2,1,700703,1000000
2024DL0000009,1,1678.79,18,2,6,1,17,17052,113,4000,3,1,1,5,1,700705,1000000
2024DL0000010,1,1678.79,49,2,1,1,9,49052,327,9000,3,2,1,1,2,700708,1000000
2024DL0000011,1,1678.79,42,1,6,1,9,70929,472,6000,1,2,1,1,2,700710,1000000
2024DL0000012,1,1678.79,15,1,1,1,13,11423,76,0,0,6,1,5,1,700710,1000000
2024DL0000013,1,1678.79,45,1,1,1,6,18948,126,6000,6,1,1,1,2,700706,1000000
2024DL0000014,1,1678.79,30,2,4,1,10,63776,425,7000,3,4,1,1,1,700702,1000000
2024DL0000015,1,1678.79,23,1,5,1,19,41392,275,2000,1,1,1,5,1,700700,1000000
2024DL0000016,1,1678.79,22,2,8,1,14,30215,201,2000,2,1,1,5,1,700710,1000000
2024DL0000017,1,1678.79,38,1,5,1,17,54486,363,4000,3,1,1,1,1,700705,1000000
2024DL0000018,1,1678.79,48,2,5,1,13,62027,413,8000,6,1,1,1,1,700703,1000000
2024DL0000019,1,1678.79,41,2,5,1,14,39235,261,6000,1,1,1,1,1,700705,1000000
2024DL0000020,1,1678.79,0,1,4,1,7,2708,18,0,0,6,1,5,1,700710,1000000
2024DL0000021,1,1678.79,25,2,3,1,10,21249,141,6000,1,3,1,5,1,700701,1000000
2024DL0000022,1,1678.79,35,1,3,1,19,121275,501,1000,2,1,1,1,1,700710,1000000
2024DL0000023,1,1678.79,26,1,6,1,9,59549,396,9000,1,3,1,1,1,700704,1000000
2024DL0000024,1,1678.79,58,1,3,1,10,18096,120,1000,3,1,1,1,1,700704,1000000
2024DL0000025,1,1678.79,3,2,2,1,6,10992,73,0,0,6,1,5,1,700706,1000000
2024DL0000026,1,1678.79,55,1,5,1,7,10440,69,5000,4,1,1,1,1,700707,1000000
2024DL0000027,1,1678.79,22,2,3,1,14,85622,501,1000,2,1,1,5,1,700710,1000000
2024DL0000028,1,1678.79,36,2,1,1,8,19640,130,5000,1,1,1,1,1,700707,1000000
2024DL0000029,1,1678.79,36,1,3,1,13,59133,394,7000,3,1,1,1,1,700703,1000000
2024DL0000030,1,1678.79,52,2,1,1,9,19935,132,6000,1,2,1,3,1,700703,1000000
2024DL0000031,1,1678.79,14,2,1,1,4,5434,36,0,0,6,1,5,1,700707,1000000
2024DL0000032,1,1678.79,48,2,5,1,8,53457,356,6000,1,1,1,1,1,700702,1000000
2024DL0000033,1,1678.79,44,1,1,1,5,12253,81,6000,4,1,1,1,1,700708,1000000
2024DL0000034,1,1678.79,40,2,3,1,9,62055,413,8000,1,5,1,1,1,700700,1000000
2024DL0000035,1,1678.79,15,2,3,1,10,8929,59,0,0,6,1,5,1,700706,1000000
2024DL0000036,1,1678.79,44,2,2,1,15,82222,501,4000,1,1,1,5,1,700710,1000000
2024DL0000037,1,1678.79,37,1,2,1,6,21056,140,5000,6,1,1,1,1,700704,1000000
2024DL0000038,1,1678.79,31,1,1,1,9,19272,128,5000,1,1,1,1,1,700701,1000000
2024DL0000039,1,1678.79,50,1,1,1,7,6530,43,9800,1,1,1,1,1,700705,1000000
2024DL0000040,1,1678.79,0,1,3,1,2,9899,65,0,0,6,1,5,1,700708,1000000
2024DL0000041,1,1678.79,24,1,5,1,13,30706,204,6000,3,1,1,5,2,700705,1000000
2024DL0000042,1,1678.79,36,1,3,1,8,16658,111,5000,1,1,1,1,1,700710,1000000
2024DL0000043,1,1678.79,56,2,2,1,11,11771,78,7000,6,1,5,1,1,700708,1000000
2024DL0000044,1,1678.79,19,2,2,1,14,11627,77,5000,3,1,1,5,1,700703,1000000
