SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2024JP0000001,1,304.62,38,1,1,1,11,14872,148,6000,1,1,1,1,1,800101,1000000
2024JP0000002,1,304.62,33,1,3,1,11,31997,319,5000,4,1,1,1,1,800102,1000000
2024JP0000003,1,304.62,43,1,3,1,12,16048,160,7000,4,1,1,1,1,800107,1000000
2024JP0000004,1,304.62,76,2,7,1,8,1308,13,0,0,6,1,5,1,800106,1000000
2024JP0000005,1,304.62,8,2,4,1,1,9030,90,0,0,6,1,5,1,800104,1000000
2024JP0000006,1,304.62,22,2,2,1,12,23839,238,4000,1,1,1,5,1,800100,1000000
2024JP0000007,1,304.62,26,1,8,1,8,3118,31,6000,4,1,1,1,1,800108,1000000
2024JP0000008,1,304.62,2,1,2,1,5,618,6,0,0,6,1,5,1,800107,1000000
2024JP0000009,1,304.62,21,2,5,1,12,19663,196,7000,3,1,1,5,1,800103,1000000
2024JP0000010,1,304.62,8,1,1,1,5,776,7,0,0,6,1,5,1,800103,1000000
2024JP0000011,1,304.62,15,2,6,1,15,26937,269,0,0,6,1,5,1,800105,1000000
2024JP0000012,1,304.62,11,1,2,1,1,2400,24,0,0,6,1,5,1,800105,1000000
2024JP0000013,1,304.62,23,1,5,1,18,33967,339,3000,1,1,1,5,1,800108,1000000
2024JP0000014,1,304.62,27,2,5,1,7,19355,193,7000,4,3,1,1,1,800102,1000000
2024JP0000015,1,304.62,15,2,2,1,13,11660,116,0,0,6,1,5,1,800104,1000000
2024JP0000016,1,304.62,52,1,4,1,9,7159,71,5000,3,1,1,1,1,800101,1000000
2024JP0000017,1,304.62,0,1,8,1,3,5988,59,0,0,6,1,5,1,800100,1000000
2024JP0000018,1,304.62,65,2,1,1,7,667,6,9800,6,1,1,1,1,800104,1000000
2024JP0000019,1,304.62,21,2,5,1,12,12574,125,5000,3,5,1,5,1,800107,1000000
2024JP0000020,1,304.62,8,1,2,1,3,4318,43,0,0,6,1,5,1,800104,1000000
2024JP0000021,1,304.62,10,1,1,1,3,9697,96,0,0,6,1,5,1,800108,1000000
2024JP0000022,1,304.62,13,1,1,1,3,6425,64,0,0,6,1,5,1,800104,1000000
2024JP0000023,1,304.62,22,2,4,1,18,28253,282,3000,1,1,1,1,1,800108,1000000
2024JP0000024,1,304.62,54,1,5,1,8,11719,117,9920,1,1,1,1,1,800109,1000000
2024JP0000025,1,304.62,29,1,1,1,6,1650,16,9800,4,1,1,1,1,800105,1000000
2024JP0000026,1,304.62,40,2,2,1,7,4778,47,8000,4,1,1,1,1,800101,1000000
2024JP0000027,1,304.62,49,1,5,1,10,21066,210,6000,1,1,1,5,1,800107,1000000
2024JP0000028,1,304.62,51,1,6,1,11,10720,107,5000,1,1,1,1,1,800104,1000000
2024JP0000029,1,304.62,36,1,4,1,12,20921,209,5000,1,1,1,1,1,800108,1000000
2024JP0000030,1,304.62,21,1,5,1,15,19546,195,3000,2,2,1,5,1,800104,1000000
2024JP0000031,1,304.62,30,2,5,1,7,8994,89,5000,1,4,1,3,1,800109,1000000
2024JP0000032,1,304.62,9,1,1,1,3,4605,46,0,0,6,1,5,1,800109,1000000
2024JP0000033,1,304.62,47,1,2,1,5,3573,35,5000,4,1,1,2,1,800105,1000000
2024JP0000034,1,304.62,44,2,4,1,15,64905,501,6000,3,1,1,1,1,800106,1000000
2024JP0000035,1,304.62,11,1,3,1,5,1124,11,0,0,6,1,5,1,800100,1000000
2024JP0000036,1,304.62,19,1,1,1,14,10507,105,6000,6,1,1,5,1,800105,1000000
2024JP0000037,1,304.62,2,1,1,1,3,3156,31,0,0,6,1,5,1,800102,1000000
2024JP0000038,1,304.62,3,2,2,1,7,2801,28,0,0,6,1,5,1,800108,1000000
2024JP0000039,1,304.62,83,2,2,1,6,5543,55,0,0,6,1,1,1,800107,1000000
2024JP0000040,1,304.62,3,1,2,1,9,5148,51,0,0,6,1,5,1,800100,1000000
2024JP0000041,1,304.62,6,1,2,1,2,2351,23,0,0,6,1,5,1,800103,1000000
2024JP0000042,1,304.62,21,2,4,1,14,8032,80,2000,1,1,1,1,1,800102,1000000
2024JP0000043,1,304.62,28,2,7,1,12,11523,115,6000,1,1,1,5,1,800108,1000000
2024JP0000044,1,304.62,52,2,3,1,6,2832,28,7000,3,1,1,5,1,800107,1000000
2024JP0000045,1,304.62,20,2,1,1,18,13540,135,5000,1,5,1,5,1,800105,1000000
2024JP0000046,1,304.62,5,1,1,1,9,8799,87,0,0,6,1,5,1,800102,1000000
2024JP0000047,1,304.62,19,2,2,1,15,12893,128,3000,2,1,1,5,1,800107,1000000
2024JP0000048,1,304.62,31,2,8,1,6,7585,75,7000,4,1,5,2,1,800106,1000000
2024JP0000049,1,304.62,30,2,1,1,7,7846,78,9000,3,5,1,1,1,800109,1000000
2024JP0000050,1,304.62,5,2,6,1,4,4427,44,0,0,6,1,5,1,800109,1000000
2024JP0000051,1,304.62,27,1,6,1,15,33831,338,6000,1,5,1,5,1,800107,1000000
2024JP0000052,1,304.62,44,2,1,1,8,3777,37,9920,3,1,1,1,1,800100,1000000
