SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2024KL0000001,1,449.67,46,1,1,1,5,16207,147,6000,6,1,1,1,1,1900114,1000000
2024KL0000002,1,449.67,3,1,1,1,3,6063,55,0,0,6,1,5,2,1900113,1000000
2024KL0000003,1,449.67,18,1,5,1,17,34338,312,5000,4,1,1,5,1,1900113,1000000
2024KL0000004,1,449.67,23,1,1,1,14,13840,125,2000,1,1,1,5,1,1900112,1000000
2024KL0000005,1,449.67,21,1,4,1,15,24304,220,1000,1,1,1,5,1,1900107,1000000
2024KL0000006,1,449.67,22,1,1,1,15,92756,501,1000,2,1,1,1,1,1900111,1000000
2024KL0000007,1,449.67,36,1,1,1,11,20814,189,3000,1,2,1,1,1,1900100,1000000
2024KL0000008,1,449.67,34,1,3,1,8,7627,69,9000,1,1,1,5,2,1900110,1000000
2024KL0000009,1,449.67,16,1,1,1,16,12635,114,0,0,6,1,5,1,1900109,1000000
2024KL0000010,1,449.67,7,2,1,1,7,17639,160,0,0,6,1,5,1,1900102,1000000
2024KL0000011,1,449.67,81,1,4,1,5,10281,93,0,0,6,1,1,1,1900103,1000000
2024KL0000012,1,449.67,25,2,1,1,17,107482,501,4000,1,3,1,5,1,1900108,1000000
2024KL0000013,1,449.67,32,2,2,1,14,38620,351,4000,1,5,1,5,1,1900100,1000000
2024KL0000014,1,449.67,43,2,1,1,16,58076,501,2000,3,1,1,1,1,1900107,1000000
2024KL0000015,1,449.67,51,1,1,1,7,16398,149,9800,1,1,1,5,1,1900111,1000000
2024KL0000016,1,449.67,45,1,1,1,6,8533,77,9000,1,1,1,1,1,1900113,1000000
2024KL0000017,1,449.67,53,1,2,1,8,30382,276,9920,4,1,1,5,1,1900103,1000000
2024KL0000018,1,449.67,47,2,1,1,5,24777,225,9000,1,1,1,1,1,1900110,1000000
2024KL0000019,1,449.67,46,2,2,1,7,56592,501,5000,1,1,2,5,1,1900106,1000000
2024KL0000020,1,449.67,2,1,2,1,5,1102,10,0,0,6,1,5,1,1900102,1000000
2024KL0000021,1,449.67,17,2,1,1,14,4367,39,0,0,6,1,5,1,1900102,1000000
2024KL0000022,1,449.67,1,1,4,1,5,9792,89,0,0,6,1,5,1,1900102,1000000
2024KL0000023,1,449.67,4,2,4,1,3,3209,29,0,0,6,1,5,1,1900105,1000000
2024KL0000024,1,449.67,66,2,8,1,6,19243,174,5000,1,1,1,2,1,1900109,1000000
2024KL0000025,1,449.67,27,1,1,1,11,32938,299,7000,1,5,2,1,1,1900110,1000000
2024KL0000026,1,449.67,11,2,2,1,5,13320,121,0,0,6,1,5,1,1900112,1000000
2024KL0000027,1,449.67,28,1,1,1,15,110096,501,6000,6,1,1,5,1,1900102,1000000
2024KL0000028,1,449.67,46,1,1,1,14,60800,501,7000,6,2,1,1,2,1900105,1000000
2024KL0000029,1,449.67,57,2,4,1,6,4442,40,9920,1,4,1,1,1,1900103,1000000
2024KL0000030,1,449.67,43,2,3,1,10,34263,311,5000,4,1,1,1,1,1900105,1000000
2024KL0000031,1,449.67,10,1,2,1,3,6628,60,0,0,6,1,5,1,1900112,1000000
2024KL0000032,1,449.67,3,1,1,1,4,1496,13,0,0,6,1,5,1,1900106,1000000
2024KL0000033,1,449.67,85,1,4,1,5,4433,40,0,0,6,1,5,1,1900107,1000000
2024KL0000034,1,449.67,8,2,1,1,5,10704,97,0,0,6,1,5,1,1900106,1000000
2024KL0000035,1,449.67,4,2,6,1,5,6284,57,0,0,6,1,5,1,1900109,1000000
2024KL0000036,1,449.67,24,1,2,1,16,43641,396,6000,1,4,5,5,1,1900110,1000000
2024KL0000037,1,449.67,6,2,1,1,4,1450,13,0,0,6,1,5,1,1900103,1000000
2024KL0000038,1,449.67,44,1,7,1,16,34862,316,6000,1,1,1,1,1,1900114,1000000
2024KL0000039,1,449.67,15,1,6,1,17,40888,371,0,0,6,1,5,1,1900112,1000000
2024KL0000040,1,449.67,26,1,2,1,17,20061,182,3000,3,1,1,5,1,1900100,1000000
2024KL0000041,1,449.67,41,1,1,1,13,42394,385,6000,3,1,1,1,1,1900113,1000000
2024KL0000042,1,449.67,47,2,1,1,6,10894,99,9920,6,1,1,1,1,1900114,1000000
2024KL0000043,1,449.67,17,2,1,1,12,20372,185,0,0,6,1,5,1,1900101,1000000
2024KL0000044,1,449.67,55,2,1,1,11,32080,291,6000,4,1,1,4,1,1900108,1000000
2024KL0000045,1,449.67,6,2,1,1,3,1488,13,0,0,6,1,5,1,1900110,1000000
2024KL0000046,1,449.67,29,1,1,1,12,5886,53,9000,1,1,1,1,1,1900107,1000000
2024KL0000047,1,449.67,3,1,3,1,9,29704,270,0,0,6,1,5,1,1900106,1000000
2024KL0000048,1,449.67,12,1,6,1,5,3796,34,0,0,6,1,5,1,1900110,1000000
2024KL0000049,1,449.67,35,1,1,1,15,44484,404,6000,4,2,1,1,1,1900114,1000000
2024KL0000050,1,449.67,58,1,3,1,8,6518,59,5000,1,1,1,2,1,1900101,1000000
2024KL0000051,1,449.67,66,1,1,1,10,2849,25,3000,2,1,2,1,1,1900107,1000000
2024KL0000052,1,449.67,38,2,1,1,7,17906,162,7000,3,1,1,1,1,1900113,1000000
2024KL0000053,1,449.67,5,1,1,1,6,15039,136,0,0,6,1,5,1,1900107,1000000
2024KL0000054,1,449.67,57,1,5,1,6,31150,283,9000,1,1,1,5,1,1900106,1000000
2024KL0000055,1,449.67,11,2,3,1,4,7297,66,0,0,6,2,5,1,1900108,1000000
2024KL0000056,1,449.67,7,2,3,1,6,3930,35,0,0,6,1,5,2,1900114,1000000
2024KL0000057,1,449.67,11,2,4,1,2,2733,24,0,0,6,1,5,1,1900104,1000000
2024KL0000058,1,449.67,30,1,1,1,8,23374,212,5000,1,1,1,5,1,1900111,1000000
2024KL0000059,1,449.67,7,1,1,1,1,8720,79,0,0,6,1,5,1,1900109,1000000
2024KL0000060,1,449.67,25,2,5,1,9,8575,77,8000,1,4,1,1,1,1900105,1000000
2024KL0000061,1,449.67,50,1,1,1,9,48096,437,7000,3,5,1,1,1,1900101,1000000
2024KL0000062,1,449.67,34,2,5,1,13,23178,210,9800,6,1,1,1,1,1900106,1000000
2024KL0000063,1,449.67,10,2,1,1,9,3283,29,0,0,6,1,5,1,1900107,1000000
2024KL0000064,1,449.67,60,1,1,1,8,11008,100,9000,6,3,1,2,1,1900106,1000000
2024KL0000065,1,449.67,16,2,3,1,14,14366,130,0,0,6,1,5,1,1900114,1000000
2024KL0000066,1,449.67,51,1,3,1,11,23040,209,6000,4,1,1,1,2,1900107,1000000
2024KL0000067,1,449.67,3,1,6,1,9,17917,162,0,0,6,1,5,1,1900107,1000000
2024KL0000068,1,449.67,38,1,1,1,11,60556,501,8000,1,1,1,1,1,1900110,1000000
2024KL0000069,1,449.67,77,2,1,1,7,9467,86,0,0,6,1,1,1,1900112,1000000
2024KL0000070,1,449.67,5,2,2,1,6,4178,37,0,0,6,1,5,1,1900102,1000000
2024KL0000071,1,449.67,21,1,2,1,17,30212,274,1000,3,1,1,1,1,1900105,1000000
2024KL0000072,1,449.67,1,2,1,1,1,1372,12,0,0,6,1,5,1,1900101,1000000
2024KL0000073,1,449.67,41,1,1,1,18,73623,501,3000,2,1,1,1,1,1900113,1000000
2024KL0000074,1,449.67,0,1,1,1,1,3521,32,0,0,6,1,5,1,1900112,1000000
2024KL0000075,1,449.67,49,2,1,1,14,48576,441,9800,1,1,1,1,1,1900113,1000000
2024KL0000076,1,449.67,40,1,4,1,10,11313,102,8000,3,1,1,1,1,1900104,1000000
2024KL0000077,1,449.67,16,1,1,1,11,8080,73,0,0,6,1,5,1,1900109,1000000
2024KL0000078,1,449.67,1,2,1,1,3,6466,58,0,0,6,1,5,1,1900110,1000000
2024KL0000079,1,449.67,30,1,2,1,8,21270,193,7000,3,1,1,5,1,1900108,1000000
2024KL0000080,1,449.67,2,1,2,1,1,4038,36,0,0,6,1,5,1,1900109,1000000
2024KL0000081,1,449.67,27,2,1,1,15,91623,501,4000,3,1,1,1,1,1900103,1000000
2024KL0000082,1,449.67,7,1,1,1,2,2316,21,0,0,6,1,5,1,1900103,1000000
2024KL0000083,1,449.67,82,2,2,1,6,16543,150,0,0,6,1,4,1,1900106,1000000
2024KL0000084,1,449.67,43,1,3,1,5,8930,81,5000,1,1,1,1,1,1900100,1000000
2024KL0000085,1,449.67,41,1,1,1,7,25627,232,9920,6,1,1,2,1,1900114,1000000
2024KL0000086,1,449.67,43,2,2,1,11,18667,169,9000,6,1,1,1,1,1900101,1000000
2024KL0000087,1,449.67,21,1,2,1,16,13033,118,5000,3,1,1,5,1,1900103,1000000
2024KL0000088,1,449.67,25,1,1,1,12,14828,134,6000,1,1,1,1,1,1900108,1000000
2024KL0000089,1,449.67,54,2,1,1,16,40810,371,6000,1,1,1,2,1,1900110,1000000
2024KL0000090,1,449.67,6,2,2,1,2,918,8,0,0,6,1,5,1,1900108,1000000
2024KL0000091,1,449.67,50,1,1,1,8,12231,111,9800,3,1,1,2,1,1900113,1000000
2024KL0000092,1,449.67,39,1,2,1,5,10064,91,7000,1,1,1,1,1,1900105,1000000
2024KL0000093,1,449.67,28,2,6,1,9,16774,152,9800,1,1,1,1,1,1900113,1000000
2024KL0000094,1,449.67,32,1,2,1,10,26421,240,3000,2,2,1,1,1,1900113,1000000
2024KL0000095,1,449.67,18,1,2,1,14,17159,155,6000,4,1,1,5,1,1900109,1000000
2024KL0000096,1,449.67,53,1,6,1,14,39333,357,2000,3,1,1,1,1,1900108,1000000
2024KL0000097,1,449.67,36,2,6,1,8,8293,75,6000,1,1,1,1,1,1900113,1000000
2024KL0000098,1,449.67,23,2,1,1,17,43882,398,5000,1,2,1,5,1,1900102,1000000
2024KL0000099,1,449.67,16,2,2,1,15,14517,131,0,0,6,1,5,1,1900106,1000000
2024KL0000100,1,449.67,20,1,2,1,15,35067,318,6000,1,1,1,1,1,1900103,1000000
2024KL0000101,1,449.67,41,1,1,1,13,8738,79,2000,3,2,1,1,1,1900100,1000000
2024KL0000102,1,449.67,42,2,2,1,11,36194,329,6000,1,1,1,1,1,1900110,1000000
2024KL0000103,1,449.67,32,2,6,1,14,10324,93,8000,1,1,1,5,1,1900108,1000000
2024KL0000104,1,449.67,25,2,1,1,13,13975,127,8000,1,1,1,5,1,1900112,1000000
2024KL0000105,1,449.67,41,2,1,1,15,63574,501,5000,4,1,1,1,1,1900106,1000000
2024KL0000106,1,449.67,43,2,1,1,9,105845,501,2000,3,1,1,1,1,1900105,1000000
2024KL0000107,1,449.67,97,1,1,1,5,6238,56,0,0,6,1,1,1,1900100,1000000
2024KL0000108,1,449.67,25,2,7,1,14,15532,141,9000,6,1,1,5,1,1900109,1000000
2024KL0000109,1,449.67,36,1,1,1,11,65735,501,7000,1,5,1,1,1,1900101,1000000
2024KL0000110,1,449.67,15,1,4,1,20,53750,488,0,0,6,1,5,1,1900101,1000000
2024KL0000111,1,449.67,45,2,2,1,11,15064,136,5000,4,1,1,1,1,1900114,1000000
