SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2024MU0000001,1,1841.43,27,1,2,1,5,14610,121,5000,1,2,1,1,1,2700103,1000000
2024MU0000002,1,1841.43,7,2,1,1,6,12013,100,0,0,6,1,5,1,2700112,1000000
2024MU0000003,1,1841.43,36,2,3,1,12,36959,307,8000,3,1,1,1,1,2700106,1000000
2024MU0000004,1,1841.43,21,2,3,1,16,35753,297,1000,3,1,1,5,1,2700114,1000000
2024MU0000005,1,1841.43,7,1,1,1,5,7189,59,0,0,6,1,5,1,2700119,1000000
2024MU0000006,1,1841.43,22,1,1,1,18,35757,297,3000,3,1,1,1,1,2700103,1000000
2024MU0000007,1,1841.43,35,1,9,1,11,48470,403,3000,1,1,1,1,1,2700115,1000000
2024MU0000008,1,1841.43,7,1,3,1,8,11089,92,0,0,6,1,5,1,2700111,1000000
2024MU0000009,1,1841.43,50,1,2,1,9,23974,199,5000,1,1,1,5,1,2700116,1000000
2024MU0000010,1,1841.43,11,2,5,1,6,7800,65,0,0,6,1,5,1,2700116,1000000
2024MU0000011,1,1841.43,11,1,2,1,4,4095,34,0,0,6,1,5,2,2700105,1000000
2024MU0000012,1,1841.43,42,2,1,1,9,27178,226,9800,6,5,1,1,1,2700118,1000000
2024MU0000013,1,1841.43,15,1,1,1,18,27948,232,0,0,6,1,5,2,2700111,1000000
2024MU0000014,1,1841.43,29,2,2,1,7,7016,58,9800,1,1,1,5,1,2700115,1000000
2024MU0000015,1,1841.43,11,1,6,1,5,1969,16,0,0,6,5,5,1,2700102,1000000
2024MU0000016,1,1841.43,74,1,1,1,9,15196,126,6000,3,1,1,1,1,2700111,1000000
2024MU0000017,1,1841.43,29,2,1,1,14,30477,253,9800,1,1,1,1,1,2700121,1000000
2024MU0000018,1,1841.43,41,2,8,1,10,38796,323,8000,4,3,1,1,1,2700119,1000000
2024MU0000019,1,1841.43,23,1,1,1,14,24127,201,6000,1,1,1,5,1,2700101,1000000
2024MU0000020,1,1841.43,2,1,3,1,3,4802,40,0,0,6,1,5,1,2700100,1000000
2024MU0000021,1,1841.43,38,1,1,1,16,162944,501,1000,2,1,1,1,1,2700118,1000000
2024MU0000022,1,1841.43,3,2,3,1,4,1604,13,0,0,6,1,5,1,2700104,1000000
2024MU0000023,1,1841.43,73,2,2,1,10,15217,126,9000,1,1,1,1,1,2700105,1000000
2024MU0000024,1,1841.43,53,1,1,1,5,2754,22,7000,1,5,1,1,1,2700114,1000000
2024MU0000025,1,1841.43,1,1,3,1,3,3520,29,0,0,6,1,5,1,2700119,1000000
2024MU0000026,1,1841.43,44,2,3,1,8,18083,150,6000,3,5,1,1,1,2700120,1000000
2024MU0000027,1,1841.43,41,1,3,1,11,64936,501,6000,1,1,1,1,1,2700115,1000000
2024MU0000028,1,1841.43,29,2,3,1,9,32361,269,3000,1,2,1,5,1,2700101,1000000
2024MU0000029,1,1841.43,0,1,2,1,1,6214,51,0,0,6,1,5,1,2700121,1000000
2024MU0000030,1,1841.43,22,2,2,1,12,30409,253,9000,1,1,1,5,1,2700108,1000000
2024MU0000031,1,1841.43,43,1,3,1,7,9338,77,5000,1,1,1,1,1,2700107,1000000
2024MU0000032,1,1841.43,24,1,3,1,12,13302,110,7000,6,1,1,5,1,2700103,1000000
2024MU0000033,1,1841.43,42,1,3,1,7,12989,108,5000,1,1,1,1,1,2700104,1000000
2024MU0000034,1,1841.43,85,2,3,1,10,10619,88,0,0,6,1,1,1,2700108,1000000
2024MU0000035,1,1841.43,24,2,1,1,14,26716,222,8000,4,1,1,5,1,2700120,1000000
2024MU0000036,1,1841.43,58,2,1,1,9,25737,214,6000,1,4,1,5,1,2700110,1000000
2024MU0000037,1,1841.43,44,2,1,1,17,152324,501,4000,1,1,2,1,1,2700122,1000000
2024MU0000038,1,1841.43,6,1,8,1,4,4167,34,0,0,6,1,5,1,2700122,1000000
2024MU0000039,1,1841.43,28,1,4,1,17,103295,501,1000,2,1,1,1,1,2700123,1000000
2024MU0000040,1,1841.43,27,2,3,1,9,39597,329,6000,1,2,1,1,1,2700106,1000000
2024MU0000041,1,1841.43,19,1,1,1,14,9607,80,5000,3,1,1,5,1,2700101,1000000
2024MU0000042,1,1841.43,38,1,1,1,10,40114,334,8000,1,1,1,1,2,2700123,1000000
2024MU0000043,1,1841.43,26,1,8,1,11,41273,343,5000,3,1,1,1,1,2700122,1000000
2024MU0000044,1,1841.43,27,1,8,1,12,160976,501,8000,4,1,1,1,1,2700122,1000000
2024MU0000045,1,1841.43,45,1,1,1,7,7266,60,5000,6,1,1,1,1,2700120,1000000
2024MU0000046,1,1841.43,8,2,4,1,6,4144,34,0,0,6,1,5,1,2700101,1000000
2024MU0000047,1,1841.43,41,2,2,1,9,18869,157,9800,3,1,2,1,1,2700111,1000000
2024MU0000048,1,1841.43,29,2,1,1,5,10510,87,7000,3,1,1,1,1,2700116,1000000
2024MU0000049,1,1841.43,45,2,3,1,10,27186,226,5000,1,5,1,1,1,2700105,1000000
2024MU0000050,1,1841.43,32,2,3,1,14,40070,333,3000,2,1,1,1,1,2700100,1000000
2024MU0000051,1,1841.43,34,1,4,1,8,18152,151,6000,6,1,1,1,1,2700122,1000000
2024MU0000052,1,1841.43,54,1,1,1,5,9031,75,9920,1,1,1,1,1,2700108,1000000
2024MU0000053,1,1841.43,6,2,1,1,7,962,8,0,0,6,1,5,1,2700109,1000000
2024MU0000054,1,1841.43,56,1,1,1,18,232192,501,2000,2,3,1,1,1,2700121,1000000
2024MU0000055,1,1841.43,21,1,1,1,11,19604,163,9000,4,2,1,5,1,2700105,1000000
2024MU0000056,1,1841.43,22,1,2,1,19,148981,501,3000,2,1,1,5,1,2700100,1000000
2024MU0000057,1,1841.43,41,1,1,1,8,7836,65,9800,4,1,1,1,1,2700115,1000000
2024MU0000058,1,1841.43,40,1,2,1,16,124658,501,6000,1,1,1,1,1,2700109,1000000
2024MU0000059,1,1841.43,32,1,2,1,12,56106,467,9800,4,1,1,1,1,2700113,1000000
2024MU0000060,1,1841.43,13,1,3,1,7,7420,61,0,0,6,1,5,1,2700113,1000000
2024MU0000061,1,1841.43,49,2,3,1,12,79688,501,4000,1,5,1,1,1,2700123,1000000
2024MU0000062,1,1841.43,44,2,3,1,5,37155,309,9800,4,1,1,1,1,2700113,1000000
2024MU0000063,1,1841.43,25,2,1,1,6,2654,22,5000,1,1,1,1,1,2700112,1000000
2024MU0000064,1,1841.43,29,1,1,1,11,23473,195,6000,6,1,1,1,1,2700101,1000000
2024MU0000065,1,1841.43,11,1,1,1,2,8870,73,0,0,6,1,5,1,2700119,1000000
2024MU0000066,1,1841.43,14,2,1,1,4,1914,15,0,0,6,1,5,1,2700122,1000000
2024MU0000067,1,1841.43,45,1,1,1,16,246195,501,4000,3,1,1,1,1,2700101,1000000
2024MU0000068,1,1841.43,18,2,1,1,13,38688,322,6000,3,1,1,5,1,2700117,1000000
2024MU0000069,1,1841.43,51,2,3,1,9,83606,501,7000,1,1,1,4,1,2700104,1000000
2024MU0000070,1,1841.43,44,2,9,1,8,27216,226,9920,4,1,1,1,1,2700103,1000000
2024MU0000071,1,1841.43,33,2,1,1,12,31858,265,9800,4,1,1,5,2,2700106,1000000
2024MU0000072,1,1841.43,66,1,5,1,5,8367,69,7000,3,1,1,1,1,2700103,1000000
2024MU0000073,1,1841.43,20,1,1,1,13,4246,35,7000,6,1,1,5,1,2700112,1000000
2024MU0000074,1,1841.43,54,2,3,1,13,21019,175,3000,1,5,1,1,1,2700110,1000000
2024MU0000075,1,1841.43,53,1,3,1,12,22080,184,7000,4,2,1,4,1,2700101,1000000
2024MU0000076,1,1841.43,11,1,8,1,6,4211,35,0,0,6,1,5,1,2700108,1000000
2024MU0000077,1,1841.43,56,1,1,1,12,27597,229,8000,3,4,1,2,1,2700112,1000000
2024MU0000078,1,1841.43,28,1,1,1,10,34890,290,9000,1,1,1,1,1,2700123,1000000
2024MU0000079,1,1841.43,39,1,1,1,13,80563,501,9800,3,3,1,1,1,2700109,1000000
2024MU0000080,1,1841.43,8,1,2,1,4,2271,18,0,0,6,1,5,1,2700120,1000000
2024MU0000081,1,1841.43,15,2,8,1,11,12088,100,0,0,6,1,5,1,2700115,1000000
2024MU0000082,1,1841.43,25,2,4,1,10,21713,180,6000,4,1,1,5,1,2700117,1000000
2024MU0000083,1,1841.43,18,2,3,1,12,12445,103,9800,1,1,1,5,1,2700104,1000000
2024MU0000084,1,1841.43,17,2,2,1,14,17612,146,0,0,6,1,5,2,2700117,1000000
2024MU0000085,1,1841.43,7,1,8,1,3,8375,69,0,0,6,1,5,1,2700113,1000000
2024MU0000086,1,1841.43,43,1,2,1,10,69670,501,8000,4,1,1,1,1,2700108,1000000
2024MU0000087,1,1841.43,2,1,1,1,4,5581,46,0,0,6,1,5,1,2700101,1000000
2024MU0000088,1,1841.43,22,2,5,1,17,33682,280,1000,1,2,1,1,1,2700110,1000000
2024MU0000089,1,1841.43,91,2,1,1,8,2812,23,0,0,6,1,1,2,2700122,1000000
2024MU0000090,1,1841.43,23,1,1,1,19,105320,501,3000,1,1,1,5,1,2700117,1000000
2024MU0000091,1,1841.43,28,1,1,1,6,14239,118,7000,4,1,5,1,1,2700107,1000000
2024MU0000092,1,1841.43,71,2,3,1,9,7355,61,6000,1,3,1,1,1,2700106,1000000
2024MU0000093,1,1841.43,16,2,3,1,16,36262,302,0,0,6,1,5,1,2700100,1000000
2024MU0000094,1,1841.43,34,2,1,1,18,138829,501,2000,1,1,1,1,1,2700122,1000000
2024MU0000095,1,1841.43,15,1,3,1,14,2810,23,0,0,6,1,5,1,2700105,1000000
2024MU0000096,1,1841.43,16,1,4,1,13,5088,42,0,0,6,1,5,1,2700103,1000000
2024MU0000097,1,1841.43,20,2,8,1,12,22623,188,7000,1,5,1,5,2,2700116,1000000
2024MU0000098,1,1841.43,0,2,3,1,3,7002,58,0,0,6,1,5,1,2700111,1000000
2024MU0000099,1,1841.43,43,2,4,1,9,24029,200,5000,3,1,1,1,1,2700116,1000000
2024MU0000100,1,1841.43,11,2,4,1,7,1751,14,0,0,6,1,5,1,2700108,1000000
2024MU0000101,1,1841.43,20,2,1,1,13,1960,16,9800,1,1,1,5,1,2700104,1000000
2024MU0000102,1,1841.43,3,2,1,1,2,13004,108,0,0,6,1,5,1,2700101,1000000
2024MU0000103,1,1841.43,7,1,2,1,3,4141,34,0,0,6,1,5,1,2700109,1000000
2024MU0000104,1,1841.43,14,1,1,1,2,18088,150,0,0,6,1,5,1,2700104,1000000
2024MU0000105,1,1841.43,49,2,1,1,15,105589,501,6000,1,1,1,1,1,2700118,1000000
2024MU0000106,1,1841.43,35,1,2,1,16,140347,501,4000,1,1,1,2,1,2700108,1000000
2024MU0000107,1,1841.43,29,2,1,1,9,54217,451,4000,3,1,1,1,1,2700110,1000000
2024MU0000108,1,1841.43,0,2,1,1,3,14870,123,0,0,6,1,5,1,2700121,1000000
2024MU0000109,1,1841.43,10,2,2,1,8,5984,49,0,0,6,1,5,1,2700119,1000000
2024MU0000110,1,1841.43,12,1,3,1,1,4015,33,0,0,6,1,5,1,2700119,1000000
2024MU0000111,1,1841.43,56,1,5,1,10,37033,308,7000,1,1,1,2,1,2700116,1000000
2024MU0000112,1,1841.43,32,2,2,1,16,63248,501,4000,1,2,5,1,1,2700114,1000000
2024MU0000113,1,1841.43,44,2,2,1,9,33356,277,9800,1,1,1,3,1,2700103,1000000
2024MU0000114,1,1841.43,6,2,2,1,1,4175,34,0,0,6,1,5,1,2700101,1000000
2024MU0000115,1,1841.43,0,1,1,1,3,12107,100,0,0,6,1,5,1,2700117,1000000
2024MU0000116,1,1841.43,21,1,1,1,19,48098,400,1000,1,1,1,5,1,2700117,1000000
2024MU0000117,1,1841.43,60,2,4,1,5,31260,260,9000,1,1,1,1,1,2700110,1000000
2024MU0000118,1,1841.43,38,2,2,1,10,41152,342,7000,1,1,1,1,1,2700113,1000000
2024MU0000119,1,1841.43,6,2,4,1,6,10838,90,0,0,6,1,5,1,2700112,1000000
2024MU0000120,1,1841.43,39,1,3,1,15,177789,501,3000,1,1,1,1,2,2700101,1000000
2024MU0000121,1,1841.43,26,1,1,1,11,44502,370,5000,1,1,1,5,1,2700116,1000000
